,win_0,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,win_10,win_11,win_12,win_13,win_14,win_15,win_16,win_17,win_18,win_19
207,0.051,0.063,0.061,0.039,0.055,0.043,0.045,0.035,0.053,0.038,0.113,0.043,0.034,0.042,0.045,0.05,0.046,0.046,0.047,0.051
208,0.043,0.048,0.061,0.049,0.056,0.044,0.051,0.034,0.039,0.034,0.1,0.037,0.046,0.053,0.05,0.05,0.054,0.049,0.042,0.06
209,0.058,0.044,0.044,0.052,0.044,0.044,0.048,0.035,0.047,0.043,0.121,0.041,0.048,0.042,0.058,0.05,0.036,0.038,0.061,0.046
210,0.05,0.048,0.071,0.058,0.048,0.048,0.04,0.045,0.035,0.036,0.093,0.044,0.042,0.054,0.033,0.039,0.054,0.046,0.063,0.053
211,0.046,0.053,0.067,0.047,0.043,0.036,0.051,0.049,0.043,0.048,0.1,0.048,0.044,0.043,0.041,0.05,0.054,0.043,0.042,0.052
212,0.058,0.046,0.059,0.04,0.045,0.036,0.042,0.047,0.044,0.05,0.113,0.041,0.046,0.039,0.044,0.052,0.042,0.05,0.057,0.049
213,0.049,0.046,0.062,0.045,0.037,0.04,0.042,0.043,0.045,0.051,0.116,0.031,0.045,0.055,0.045,0.049,0.041,0.048,0.055,0.055
214,0.073,0.055,0.053,0.045,0.055,0.038,0.044,0.036,0.038,0.041,0.085,0.033,0.057,0.039,0.056,0.054,0.051,0.046,0.053,0.048
215,0.047,0.057,0.048,0.061,0.041,0.042,0.038,0.032,0.046,0.039,0.11,0.045,0.04,0.05,0.049,0.052,0.04,0.047,0.055,0.061
216,0.053,0.054,0.047,0.055,0.044,0.038,0.04,0.041,0.043,0.043,0.12,0.043,0.049,0.048,0.023,0.038,0.041,0.06,0.065,0.055
217,0.047,0.057,0.049,0.048,0.051,0.047,0.053,0.047,0.036,0.044,0.109,0.055,0.042,0.045,0.036,0.038,0.048,0.041,0.052,0.055
218,0.034,0.059,0.038,0.034,0.037,0.049,0.041,0.038,0.042,0.04,0.113,0.054,0.055,0.055,0.038,0.05,0.046,0.056,0.066,0.055
219,0.046,0.047,0.057,0.051,0.047,0.043,0.04,0.046,0.057,0.042,0.107,0.038,0.037,0.046,0.035,0.048,0.05,0.054,0.054,0.055
220,0.048,0.048,0.035,0.043,0.051,0.043,0.048,0.045,0.061,0.042,0.113,0.041,0.049,0.057,0.042,0.045,0.056,0.036,0.055,0.042
221,0.046,0.054,0.043,0.036,0.043,0.043,0.036,0.046,0.044,0.035,0.111,0.056,0.056,0.053,0.041,0.046,0.049,0.063,0.051,0.048
222,0.054,0.053,0.04,0.04,0.043,0.041,0.035,0.041,0.048,0.042,0.098,0.046,0.051,0.049,0.051,0.047,0.05,0.048,0.059,0.064
223,0.045,0.042,0.039,0.051,0.047,0.042,0.045,0.049,0.05,0.042,0.118,0.056,0.055,0.042,0.044,0.032,0.046,0.046,0.051,0.058
224,0.053,0.046,0.048,0.049,0.049,0.046,0.061,0.047,0.049,0.041,0.095,0.042,0.052,0.048,0.045,0.042,0.053,0.045,0.047,0.042
225,0.041,0.044,0.054,0.048,0.05,0.04,0.052,0.041,0.035,0.037,0.111,0.04,0.051,0.045,0.055,0.044,0.053,0.054,0.056,0.049
226,0.072,0.03,0.039,0.058,0.042,0.048,0.046,0.039,0.04,0.041,0.109,0.037,0.058,0.043,0.054,0.045,0.05,0.048,0.05,0.051
227,0.063,0.05,0.052,0.058,0.036,0.042,0.042,0.037,0.043,0.041,0.119,0.037,0.047,0.052,0.039,0.039,0.047,0.044,0.054,0.058
228,0.05,0.048,0.038,0.052,0.05,0.059,0.05,0.044,0.041,0.036,0.113,0.044,0.048,0.051,0.045,0.051,0.045,0.051,0.041,0.043
229,0.048,0.05,0.049,0.057,0.037,0.052,0.048,0.038,0.038,0.043,0.113,0.053,0.049,0.051,0.04,0.04,0.045,0.056,0.053,0.04
230,0.058,0.056,0.052,0.044,0.037,0.037,0.056,0.046,0.052,0.046,0.098,0.033,0.04,0.04,0.051,0.042,0.036,0.053,0.062,0.061
231,0.05,0.052,0.048,0.043,0.039,0.038,0.045,0.045,0.052,0.04,0.118,0.046,0.054,0.042,0.039,0.05,0.036,0.049,0.05,0.064
232,0.054,0.054,0.036,0.052,0.042,0.047,0.04,0.042,0.05,0.052,0.108,0.049,0.043,0.053,0.043,0.04,0.055,0.048,0.048,0.044
233,0.041,0.04,0.043,0.048,0.034,0.043,0.048,0.039,0.043,0.051,0.125,0.049,0.051,0.043,0.047,0.049,0.055,0.056,0.052,0.043
234,0.055,0.042,0.041,0.045,0.042,0.045,0.054,0.042,0.056,0.046,0.115,0.04,0.055,0.047,0.027,0.047,0.043,0.046,0.052,0.06
235,0.046,0.067,0.042,0.043,0.041,0.044,0.036,0.038,0.036,0.038,0.128,0.043,0.035,0.052,0.048,0.046,0.047,0.049,0.066,0.055
236,0.05,0.049,0.034,0.058,0.05,0.042,0.041,0.05,0.053,0.037,0.103,0.04,0.049,0.037,0.039,0.044,0.056,0.057,0.051,0.06
237,0.045,0.062,0.06,0.062,0.042,0.032,0.029,0.039,0.043,0.038,0.113,0.046,0.058,0.045,0.045,0.038,0.046,0.055,0.045,0.057
238,0.041,0.047,0.058,0.06,0.047,0.049,0.034,0.045,0.038,0.039,0.111,0.048,0.042,0.042,0.038,0.049,0.042,0.058,0.056,0.056
239,0.051,0.045,0.048,0.042,0.039,0.053,0.046,0.051,0.042,0.038,0.113,0.039,0.05,0.038,0.044,0.055,0.051,0.05,0.057,0.048
240,0.054,0.051,0.051,0.038,0.04,0.051,0.05,0.037,0.041,0.046,0.108,0.044,0.05,0.043,0.051,0.052,0.052,0.046,0.051,0.044
241,0.051,0.037,0.046,0.049,0.041,0.046,0.042,0.04,0.054,0.043,0.118,0.046,0.053,0.054,0.045,0.043,0.044,0.044,0.052,0.052
242,0.037,0.038,0.057,0.043,0.048,0.047,0.043,0.033,0.052,0.054,0.091,0.038,0.054,0.049,0.043,0.048,0.038,0.062,0.062,0.063
243,0.054,0.041,0.035,0.068,0.04,0.051,0.042,0.038,0.052,0.048,0.118,0.04,0.042,0.045,0.039,0.048,0.051,0.047,0.059,0.042
244,0.069,0.053,0.05,0.04,0.045,0.033,0.047,0.047,0.043,0.044,0.108,0.04,0.053,0.042,0.045,0.047,0.053,0.04,0.042,0.059
245,0.049,0.056,0.046,0.039,0.049,0.051,0.041,0.039,0.037,0.044,0.102,0.048,0.042,0.038,0.052,0.047,0.054,0.053,0.066,0.047
246,0.048,0.045,0.061,0.045,0.048,0.051,0.041,0.043,0.043,0.042,0.103,0.043,0.045,0.038,0.04,0.04,0.064,0.047,0.057,0.056
247,0.059,0.046,0.05,0.039,0.048,0.033,0.03,0.056,0.049,0.043,0.117,0.048,0.058,0.04,0.05,0.045,0.047,0.039,0.051,0.052
248,0.065,0.044,0.054,0.042,0.043,0.05,0.042,0.041,0.04,0.052,0.091,0.042,0.047,0.053,0.029,0.051,0.037,0.064,0.063,0.05
