,win_0,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,win_10,win_11,win_12,win_13,win_14,win_15,win_16,win_17,win_18,win_19
8915,0.062,0.042,0.047,0.057,0.044,0.034,0.048,0.041,0.041,0.049,0.104,0.048,0.043,0.043,0.053,0.047,0.048,0.055,0.046,0.048
8916,0.059,0.033,0.055,0.06,0.038,0.035,0.051,0.036,0.065,0.041,0.103,0.038,0.05,0.046,0.054,0.044,0.048,0.055,0.047,0.042
8917,0.053,0.049,0.051,0.05,0.04,0.051,0.05,0.046,0.043,0.042,0.096,0.038,0.055,0.043,0.048,0.041,0.048,0.062,0.051,0.043
8918,0.051,0.043,0.047,0.046,0.051,0.048,0.04,0.035,0.058,0.042,0.103,0.044,0.046,0.051,0.039,0.042,0.04,0.061,0.06,0.053
8919,0.054,0.045,0.047,0.054,0.048,0.047,0.044,0.033,0.05,0.04,0.119,0.037,0.05,0.047,0.047,0.044,0.056,0.045,0.052,0.041
8920,0.056,0.049,0.042,0.061,0.044,0.056,0.041,0.037,0.039,0.041,0.112,0.038,0.052,0.047,0.029,0.056,0.05,0.06,0.045,0.045
8921,0.048,0.053,0.042,0.052,0.05,0.051,0.037,0.044,0.039,0.045,0.113,0.038,0.037,0.047,0.049,0.057,0.051,0.043,0.045,0.059
8922,0.044,0.054,0.048,0.048,0.045,0.052,0.041,0.046,0.041,0.039,0.102,0.049,0.039,0.058,0.041,0.046,0.051,0.057,0.059,0.04
8923,0.063,0.058,0.052,0.04,0.038,0.039,0.044,0.041,0.047,0.037,0.107,0.039,0.045,0.044,0.045,0.062,0.043,0.049,0.05,0.057
8924,0.054,0.041,0.052,0.06,0.037,0.054,0.043,0.031,0.05,0.044,0.112,0.052,0.038,0.051,0.046,0.054,0.032,0.045,0.053,0.051
8925,0.057,0.042,0.044,0.048,0.035,0.045,0.047,0.049,0.044,0.048,0.11,0.046,0.046,0.049,0.046,0.044,0.056,0.047,0.052,0.045
8926,0.053,0.04,0.044,0.05,0.041,0.037,0.04,0.043,0.052,0.04,0.118,0.043,0.051,0.044,0.042,0.054,0.043,0.048,0.054,0.063
8927,0.065,0.043,0.043,0.048,0.047,0.045,0.042,0.039,0.038,0.044,0.113,0.045,0.06,0.045,0.044,0.054,0.052,0.042,0.052,0.039
8928,0.056,0.06,0.053,0.047,0.051,0.047,0.046,0.047,0.034,0.044,0.104,0.034,0.047,0.053,0.041,0.043,0.042,0.047,0.052,0.052
